date,water_temperature,cloud_cover,solar_radiation,air_temperature
2014-04-01,1.83,0.59,156.56887500000002,9.294
2014-04-02,2.349,0.578,162.23850000000002,10.74
2014-04-03,3.375,0.4821,200.4236666666667,12.32
2014-04-04,2.226,0.8,77.921,7.648
2014-04-05,2.086,0.7615,93.52458333333334,6.675
2014-04-06,2.131,0.6242,148.33095833333334,8.354
2014-04-07,3.981,0.6362,144.50275,9.132
2014-04-08,2.196,0.4887,204.34879166666667,10.43
2014-04-09,2.258,0.4887,205.56025,9.937
2014-04-10,2.574,0.4626,217.38408333333336,13.21
2014-04-11,2.996,0.3564,261.9172916666667,17.56
2014-04-12,3.494,0.3969,246.84675000000001,16.25
2014-04-13,4.1,0.3434,270.30058333333335,20.84
2014-04-14,5.3,0.3585,265.60012500000005,20.71
2014-04-15,9.406,0.4274,238.36654166666668,9.659
2014-04-16,6.469,0.8,83.736,4.298
2014-04-17,5.999,0.8,84.172125,6.659
2014-04-18,5.951,0.8,84.60825,7.727
2014-04-19,6.121,0.4369,239.43262500000003,13.33
2014-04-20,6.305,0.5883,175.95220833333335,8.282
2014-04-21,6.581,0.4293,245.10225000000003,13.2
2014-04-22,7.206,0.3796,267.7322916666667,15.59
2014-04-23,6.88,0.5973,174.64383333333333,9.504
2014-04-24,6.931,0.51,213.45895833333336,10.3
2014-04-25,8.643,0.4731,230.61320833333335,12.98
2014-04-26,7.112,0.4099,259.4459166666667,13.62
2014-04-27,7.412,0.5136,214.76733333333334,10.56
2014-04-28,7.714,0.5075,218.4501666666667,12.6
2014-04-29,7.303,0.8,89.06641666666668,7.715
2014-04-30,11.62,0.4669,238.46345833333336,13.2
2014-05-01,10.44,0.4639,240.741,18.23
2014-05-02,9.369,0.6435,160.73629166666666,14.72
2014-05-03,9.515,0.6064,178.13283333333337,14.88
2014-05-04,9.206,0.8,90.859375,12.81
2014-05-05,9.342,0.6527,158.41029166666667,14.31
2014-05-06,9.366,0.5425,209.38845833333335,15.03
2014-05-07,9.631,0.7349,121.72733333333333,15.39
2014-05-08,10.06,0.5159,223.10216666666668,17.79
2014-05-09,10.46,0.4955,233.27841666666666,18.79
2014-05-10,13.51,0.3929,281.6398333333334,21.56
2014-05-11,11.36,0.422,268.99220833333334,20.12
2014-05-12,11.59,0.3711,293.60904166666666,22.89
2014-05-13,12.57,0.4398,262.35341666666665,18.52
2014-05-14,12.07,0.5876,193.68795833333334,16.71
2014-05-15,12.85,0.3967,284.1596666666667,22.63
2014-05-16,13.63,0.6108,183.80245833333336,15.08
2014-05-17,12.47,0.6946,144.59966666666668,13.62
2014-05-18,12.48,0.6966,144.01816666666667,13.04
2014-05-19,12.69,0.5256,225.81583333333336,15.85
2014-05-20,13.03,0.4592,258.04062500000003,19.37
2014-05-21,13.54,0.6486,168.0535,17.75
2014-05-22,15.04,0.4318,272.3842916666667,19.5
2014-05-23,13.69,0.4709,254.21241666666668,18.17
2014-05-24,13.79,0.4859,247.52516666666668,17.58
2014-05-25,13.97,0.4013,288.81166666666667,21.12
2014-05-26,14.13,0.366,306.45050000000003,23.62
2014-05-27,17.13,0.3582,310.81175,24.16
2014-05-28,14.75,0.5272,229.40175,17.08
2014-05-29,14.02,0.8,97.20741666666667,13.49
2014-05-30,14.26,0.4742,255.9569166666667,18.14
2014-05-31,14.58,0.4418,272.19045833333337,17.38
2014-06-01,14.85,0.6185,186.27383333333333,17.96
2014-06-02,15.15,0.5214,234.05375,21
2014-06-03,16.85,0.4082,289.78083333333336,24.23
2014-06-04,16.47,0.4332,277.86008333333336,22.87
2014-06-05,15.87,0.5721,210.01841666666667,19.56
2014-06-06,15.92,0.6146,189.42362500000002,18.92
2014-06-07,16.2,0.4707,260.366625,21.6
2014-06-08,16.94,0.4581,266.8600416666667,23.57
2014-06-09,18.65,0.512,240.49870833333335,23.35
2014-06-10,18.43,0.4656,263.56487500000003,24.06
2014-06-11,17.3,0.8,98.709625,18.77
2014-06-12,18.74,0.7536,121.72733333333333,20.64
2014-06-13,18.95,0.4512,271.22129166666673,23.33
2014-06-14,17.67,0.7199,138.542375,18.1
2014-06-15,17.75,0.4997,247.47670833333333,20.96
2014-06-16,18.02,0.4119,291.04075,25.15
2014-06-17,18.35,0.36870000000000003,312.50779166666666,28.63
2014-06-18,22.81,0.3635,315.1245416666667,27.53
